Time,X Ref. Position (Inertial),X Ref. Velocity (Inertial),Y Ref. Position (Inertial),Y Ref. Velocity (Inertial),Z Ref. Position (Inertial),Z Ref. Velocity (Inertial),X (inertial),Y (inertial),Z (inertial),Phi,Theta,Psi,u (body),u (body),w (body),p,q,r,Delta_b,Delta_a,Delta_p,Delta_c
0,-1605,59.36,550,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224466106,2.84673775,0.171128336,-0.248560127
0.100250627,-1599.049118,59.36012612,549.9996431,-0.010589355,99.999935,-0.001928572,0,0,0,0,0,0,-0.005451536,0.0268312,0.023163221,0.03373153,0.000865072,0.001283263,0.180336718,2.780752136,0.172828047,-0.161767801
0.200501253,-1593.098214,59.36043683,549.9972172,-0.040927001,99.99949329,-0.007450525,-0.000433804,-0.002729944,-0.002298748,0.003387884,8.8958E-05,0.000127263,-0.012957965,0.03889314,0.073938793,0.042426548,0.001497203,0.001883106,0.135176531,2.717052514,0.174947184,-0.088586415
0.30075188,-1587.147273,59.36083795,549.990844,-0.089021679,99.99833334,-0.01620038,-0.001369367,-0.006488426,-0.009093817,0.007650363,0.000242327,0.000313612,-0.02082569,0.056083198,0.127070022,0.043894334,0.001909737,0.002016965,0.087309958,2.656763102,0.178161173,-0.046095457
0.401002506,-1581.196292,59.36124427,549.9788353,-0.153072076,99.99614822,-0.027850687,-0.002831685,-0.011901744,-0.020177376,0.012060614,0.00043728,0.000512666,-0.028800857,0.085486684,0.176987324,0.043253285,0.002120381,0.001778188,0.037956342,2.599521791,0.18232108,-0.031371116
0.501253133,-1575.245272,59.36157872,549.9596744,-0.231448705,99.99266225,-0.042105232,-0.004848503,-0.020225147,-0.034925016,0.016405398,0.000652926,0.000687386,-0.036973379,0.130280775,0.223049176,0.041980748,0.002155062,0.00122829,-0.011442693,2.544605708,0.187158034,-0.037953074
0.601503759,-1569.294225,59.36177158,549.9320002,-0.322677513,99.98762803,-0.058696059,-0.007460025,-0.032851455,-0.05278452,0.020619883,0.000871084,0.000806856,-0.045471278,0.192264527,0.265606749,0.040502858,0.002045188,0.000421885,-0.059681267,2.491516538,0.192408451,-0.059896898
0.701754386,-1563.343169,59.36175978,549.8945924,-0.425425057,99.98082368,-0.077380768,-0.010717703,-0.051166616,-0.073359507,0.024682224,0.001076815,0.000845588,-0.054384048,0.272576966,0.305057987,0.038942374,0.001824752,-0.000587258,-0.10592606,2.439886254,0.197863157,-0.092540002
0.802005013,-1557.392127,59.36148626,549.8463575,-0.538485092,99.97205047,-0.097940083,-0.014680084,-0.076506029,-0.096393104,0.028583149,0.001258681,0.000783431,-0.063750042,0.371898095,0.341702535,0.037332845,0.001527729,-0.001745457,-0.149666178,2.389440518,0.203364729,-0.132407287
0.902255639,-1551.441127,59.36089941,549.7863174,-0.660766434,99.96113058,-0.120175644,-0.019408136,-0.110140331,-0.121734931,0.032317008,0.001408743,0.000605559,-0.073561862,0.490508414,0.375776531,0.035681213,0.00118618,-0.002999683,-0.190608739,2.340038341,0.20878649,-0.176953127
1.002506266,-1545.490204,59.35995254,549.713598,-0.791281987,99.94790511,-0.143908014,-0.024960944,-0.153270122,-0.149311504,0.035879109,0.001522372,0.000302416,-0.08377682,0.628313445,0.40750532,0.033987707,0.00082911,-0.004298366,-0.228656833,2.291567148,0.214034944,-0.224344739
1.102756892,-1539.539396,59.35860342,549.6274192,-0.929138813,99.93223227,-0.16897487,-0.031392198,-0.207023729,-0.179103236,0.039265036,0.001597933,-0.000130435,-0.094327307,0.784860813,0.437143616,0.032251034,0.000481648,-0.005592207,-0.263833025,2.243979029,0.219034214,-0.273271799
1.203007519,-1533.588745,59.35681384,549.5270863,-1.073529152,99.91398577,-0.195229375,-0.038747517,-0.272456011,-0.211127569,0.042470484,0.001636398,-0.000692524,-0.10513078,0.959360415,0.464993993,0.030471015,0.000164696,-0.006834869,-0.296259305,2.197240293,0.223726233,-0.322816322
1.303258145,-1527.638296,59.35454924,549.4119815,-1.223722295,99.89305331,-0.222538698,-0.047062689,-0.350547782,-0.245426631,0.045491359,0.001640915,-0.001378768,-0.11609831,1.150707733,0.491412172,0.028648993,-0.000105227,-0.007983577,-0.326063688,2.151457799,0.228046407,-0.372330754
1.403508772,-1521.6881,59.35177835,549.2815567,-1.379057234,99.86933527,-0.250782678,-0.05636274,-0.442205581,-0.282058327,0.04832391,0.001616362,-0.002179822,-0.127142856,1.357512907,0.516798745,0.026789884,-0.000315711,-0.0089996,-0.353569302,2.106423077,0.231988286,-0.421430435
