Time,X Ref. Position (Inertial),X Ref. Velocity (Inertial),Y Ref. Position (Inertial),Y Ref. Velocity (Inertial),Z Ref. Position (Inertial),Z Ref. Velocity (Inertial),X (inertial),Y (inertial),Z (inertial),Phi,Theta,Psi,u (body),u (body),w (body),p,q,r,Delta_b,Delta_a,Delta_p,Delta_c
0,-1100,34.01,550,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.044088624,2.917699895,0.320779835,-0.01323701
0.100250627,-1096.590357,34.01354603,549.9996431,-0.010589355,99.999935,-0.001928572,0,0,0,0,0,0,0.016782463,0.02408617,0.0233806,0.030294282,-0.003417514,0.001830342,-1.030574347,2.866917822,0.3141179,0.083631151
0.200501253,-1093.180021,34.0236761,549.9972172,-0.040927001,99.99949329,-0.007450525,0.001793816,-0.002455189,-0.002215437,0.003046394,-0.000339328,0.000189725,0.030418151,0.031351463,0.039965048,0.039143427,-0.006222385,0.003001662,-1.019443084,2.816585768,0.308810357,0.168782625
0.30075188,-1089.768371,34.03968303,549.990844,-0.089021679,99.99833334,-0.01620038,0.005034288,-0.005935485,-0.008310273,0.006985974,-0.000957735,0.000501953,0.043575383,0.039664683,0.035488057,0.04153848,-0.008498728,0.003693427,-1.010965872,2.767609802,0.305150915,0.229723161
0.401002506,-1086.354847,34.06092709,549.9788353,-0.153072076,99.99614822,-0.027850687,0.009569321,-0.011040647,-0.018067588,0.01116929,-0.001803088,0.000887624,0.057481847,0.056026389,0.010989595,0.041833484,-0.010314255,0.003984341,-1.003606347,2.719751737,0.30283771,0.269621454
0.501253133,-1082.938956,34.08682957,549.9596744,-0.231448705,99.99266225,-0.042105232,0.015374256,-0.018958467,-0.03100297,0.015383786,-0.002829902,0.001305695,0.072871708,0.084027459,-0.029284924,0.041322191,-0.011720618,0.003928703,-0.996072533,2.672536253,0.301534841,0.293920311
0.601503759,-1079.520257,34.11686694,549.9320002,-0.322677513,99.98762803,-0.058696059,0.022518606,-0.03103701,-0.04673889,0.019546875,-0.003997774,0.001720663,0.090267167,0.125974591,-0.081001673,0.040408516,-0.012758119,0.003576652,-0.987565656,2.625705423,0.300958429,0.307212641
0.701754386,-1076.09836,34.15056565,549.8945924,-0.425425057,99.98082368,-0.077380768,0.031145382,-0.048650176,-0.065051283,0.023616718,-0.005270252,0.002102129,0.110065178,0.183499587,-0.140404478,0.039234677,-0.013459742,0.002978753,-0.977785552,2.579128579,0.300901909,0.312785664
0.802005013,-1072.672918,34.18749728,549.8463575,-0.538485092,99.97205047,-0.097940083,0.041455759,-0.073150006,-0.085840302,0.027565986,-0.006614104,0.002424828,0.13256803,0.257736097,-0.204345817,0.037862278,-0.013854333,0.00218626,-0.966808602,2.53275922,0.301222927,0.312824911
0.902255639,-1069.243629,34.22727431,549.7863174,-0.660766434,99.96113058,-0.120175644,0.053696635,-0.10584562,-0.109092525,0.03137378,-0.007998896,0.002668688,0.157996864,0.349377972,-0.270190675,0.036325996,-0.013968772,0.001250358,-0.954940934,2.486657081,0.30181813,0.308713681
1.002506266,-1065.810223,34.26954617,549.713598,-0.791281987,99.94790511,-0.143908014,0.068150011,-0.147991284,-0.134849802,0.035022936,-0.009396801,0.002818822,0.186499333,0.458708303,-0.335720932,0.034651119,-0.013829239,0.000221245,-0.942652602,2.440898739,0.302618712,0.301270052
1.102756892,-1062.372469,34.31399573,549.6274192,-0.929138813,99.93223227,-0.16897487,0.08512361,-0.20077839,-0.163186254,0.038499076,-0.010782525,0.002865427,0.218155945,0.585622323,-0.399060593,0.03285859,-0.013462001,-0.00085272,-0.930480594,2.395603908,0.303573188,0.290940901
1.203007519,-1058.930161,34.36033611,549.5270863,-1.073529152,99.91398577,-0.195229375,0.104942498,-0.265329504,-0.194192211,0.041790162,-0.012133325,0.002803599,0.25298552,0.729652811,-0.458625567,0.030967688,-0.012893702,-0.001925755,-0.918990889,2.350885791,0.304645279,0.277930593
1.303258145,-1055.483124,34.40830782,549.4119815,-1.223722295,99.89305331,-0.222538698,0.127941497,-0.342693936,-0.227963203,0.044886318,-0.013429047,0.002633079,0.290950807,0.889998016,-0.513088355,0.028996624,-0.012151431,-0.002955271,-0.908686418,2.306950735,0.305792193,0.262312932
1.403508772,-1052.031206,34.4576761,549.2815567,-1.379057234,99.86933527,-0.250782678,0.15445833,-0.433844496,-0.264592686,0.047779709,-0.014652177,0.002357925,0.331963338,1.065554208,-0.56135653,0.02696442,-0.011262405,-0.003902375,-0.900133431,2.26376383,0.307010215,0.244048034
1.503759398,-1048.574277,34.50822859,549.135327,-1.538936017,99.84274348,-0.279852618,0.184827363,-0.539675412,-0.304167176,0.050464599,-0.01578786,0.001986151,0.37589087,1.254946609,-0.602548351,0.024886882,-0.010254134,-0.004732319,-0.893663365,2.221618445,0.30824628,0.223118122
1.604010025,-1045.112229,34.55977319,548.9728644,-1.702817726,99.81320016,-0.309650187,0.219374202,-0.661000873,-0.346763882,0.052937014,-0.016823941,0.001529303,0.422560688,1.456570878,-0.635991707,0.022783571,-0.009153436,-0.005414729,-0.889658422,2.180528966,0.309486928,0.19946043
